imagen,estado,portada,kb,calidad_jpg
images/pesca-y-caza/senuelos-poseidon/pink-purple-trout-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_pink-purple-trout-1.jpg,94.7,92
images/pesca-y-caza/senuelos-poseidon/pink-purple-trout.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_pink-purple-trout.jpg,101.8,92
images/pesca-y-caza/senuelos-poseidon/senuelos-4en1.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_senuelos-4en1-jpg.jpg,126.3,88
images/pesca-y-caza/senuelos-poseidon/senuelos-4en1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_senuelos-4en1-png.jpg,131.0,88
images/pesca-y-caza/senuelos-poseidon/silver-pink-shad-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_silver-pink-shad-1.jpg,103.2,92
images/pesca-y-caza/senuelos-poseidon/silver-pink-shad.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_silver-pink-shad-jpg.jpg,127.7,92
images/pesca-y-caza/senuelos-poseidon/silver-pink-shad.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_silver-pink-shad-png.jpg,129.1,92
images/tecnologia/cables-iphone/cable-ltn-1.jpg,cumple (intacta),,,
images/tecnologia/cables-iphone/cable-ltn-2.jpg,procesada,images/tecnologia/cables-iphone/1_portada_cable-ltn-2.jpg,72.9,92
images/tecnologia/cables-iphone/cable-usb-c-a-c.jpg,procesada,images/tecnologia/cables-iphone/1_portada_cable-usb-c-a-c.jpg,72.3,92
images/tecnologia/cables-iphone/cable-usb-c-a-c1-m-portada.jpg,procesada,images/tecnologia/cables-iphone/1_portada_cable-usb-c-a-c1-m-portada.jpg,66.0,92
images/tecnologia/cables-iphone/cable-usbc-1.jpg,cumple (intacta),,,
images/tecnologia/cables-iphone/cargador-lightning.jpg,procesada,images/tecnologia/cables-iphone/1_portada_cargador-lightning.jpg,84.4,92
images/tecnologia/cables-iphone/cargador-usb-c-portada.webp,procesada,images/tecnologia/cables-iphone/1_portada_cargador-usb-c-portada.jpg,74.1,92
images/tecnologia/cables-iphone/cargador-usb-c.jpg,procesada,images/tecnologia/cables-iphone/1_portada_cargador-usb-c.jpg,80.8,92
images/tecnologia/cables-iphone/cargador.webp,procesada,images/tecnologia/cables-iphone/1_portada_cargador.jpg,60.2,92
images/tecnologia/cables-iphone/usb-a-c-lightning.jpg,procesada,images/tecnologia/cables-iphone/1_portada_usb-a-c-lightning.jpg,67.4,92
images/tecnologia/cables-iphone/usb-c-a-c.webp,procesada,images/tecnologia/cables-iphone/1_portada_usb-c-a-c.jpg,59.5,92
images/tecnologia/cables-iphone/usb-c-a-lightning-portada.jpg,procesada,images/tecnologia/cables-iphone/1_portada_usb-c-a-lightning-portada.jpg,66.8,92
images/tecnologia/cables-iphone/usb-c-a-lightning.webp,procesada,images/tecnologia/cables-iphone/1_portada_usb-c-a-lightning.jpg,62.4,92
images/tecnologia/cables-iphone/usb-c.webp,procesada,images/tecnologia/cables-iphone/1_portada_usb-c.jpg,26.2,92
images/tecnologia/carcasas-silicona-iphone/11-pro-11-pro-max-azul-navy.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_11-pro-11-pro-max-azul-navy.jpg,77.3,92
images/tecnologia/carcasas-silicona-iphone/11-pro-11-pro-max-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_11-pro-11-pro-max-negro.jpg,68.3,92
images/tecnologia/carcasas-silicona-iphone/12-mini-12-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_12-mini-12-negro.jpg,67.5,92
images/tecnologia/carcasas-silicona-iphone/12-pro-max-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_12-pro-max-negro.jpg,59.8,92
images/tecnologia/carcasas-silicona-iphone/13-pro-max-14-pro-14-pro-max-15-pro-15-pro-max-16-pro-16-pro-max-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_13-pro-max-14-pro-14-pro-max-15-pro-15-pro-max-16-pro-16-pro-max-azul-navy.jpg,82.1,92
images/tecnologia/carcasas-silicona-iphone/13-pro-max-14-pro-14-pro-max-15-pro-15-pro-max-16-pro-16-pro-max-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_13-pro-max-14-pro-14-pro-max-15-pro-15-pro-max-16-pro-16-pro-max-negro.jpg,63.4,92
images/tecnologia/carcasas-silicona-iphone/16-16-plus-17-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_16-16-plus-17-azul-navy.jpg,83.1,92
images/tecnologia/carcasas-silicona-iphone/16-16-plus-17-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_16-16-plus-17-negro.jpg,60.1,92
images/tecnologia/carcasas-silicona-iphone/17-air-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_17-air-negro.jpg,58.7,92
images/tecnologia/carcasas-silicona-iphone/17-pro-17-pro-max-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_17-pro-17-pro-max-azul-navy.jpg,86.8,92
images/tecnologia/carcasas-silicona-iphone/17-pro-17-pro-max-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_17-pro-17-pro-max-negro.jpg,65.5,92
images/tecnologia/carcasas-silicona-iphone/info-silicona-1.jpg,omitida (infografia/banner),,,
images/tecnologia/carcasas-silicona-iphone/info-silicona-2.jpg,omitida (infografia/banner),,,
images/tecnologia/carcasas-silicona-iphone/info-silicona-3.jpg,omitida (infografia/banner),,,
images/tecnologia/carcasas-silicona-iphone/info.webp,omitida (infografia/banner),,,
images/tecnologia/carcasas-silicona-iphone/iphone-11-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-11-azul-navy.jpg,79.9,92
images/tecnologia/carcasas-silicona-iphone/iphone-11-negro.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-11-negro.jpg,81.6,92
images/tecnologia/carcasas-silicona-iphone/iphone-12-12-mini-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-12-12-mini-azul-navy.jpg,92.5,92
images/tecnologia/carcasas-silicona-iphone/iphone-12-pro-max.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-12-pro-max.jpg,76.3,92
images/tecnologia/carcasas-silicona-iphone/iphone-13-mini-13-14-15-15-plus-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-13-mini-13-14-15-15-plus-azul-navy.jpg,81.2,92
images/tecnologia/carcasas-silicona-iphone/iphone-13-mini-13-14-15-15-plus-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-13-mini-13-14-15-15-plus-negro.jpg,61.5,92
images/tecnologia/carcasas-silicona-iphone/iphone-16-e-negro.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-16-e-negro.jpg,57.9,92
images/tecnologia/carcasas-silicona-iphone/iphone-16e-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-16e-azul-navy.jpg,76.2,92
images/tecnologia/carcasas-silicona-iphone/iphone-17-air-azul-navy.png,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_iphone-17-air-azul-navy.jpg,81.5,92
images/tecnologia/carcasas-silicona-iphone/publi-iphone.webp,omitida (infografia/banner),,,
images/tecnologia/carcasas-silicona-iphone/publi.webp,omitida (infografia/banner),,,
images/tecnologia/carcasas-silicona-iphone/sil-azl-11.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_sil-azl-11.jpg,82.8,92
images/tecnologia/carcasas-silicona-iphone/sil-azl-11pro.jpg,cumple (intacta),,,
images/tecnologia/carcasas-silicona-iphone/sil-azl-12.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_sil-azl-12.jpg,94.9,92
images/tecnologia/carcasas-silicona-iphone/sil-azl-12promax.jpg,procesada,images/tecnologia/carcasas-silicona-iphone/1_portada_sil-azl-12promax.jpg,79.0,92
